feature,bucket,trades,wins,losses,win_rate,pnl_total_usdt,avg_pnl,avg_score_raw,avg_ai_conf
score_margin_bin,0_to_0.6,93,43,50,0.46236559139784944,-7.3,-0.07849462365591398,6.090580645161291,0.7881481481481482
score_margin_bin,gt_0.6,163,92,71,0.5644171779141104,10.1,0.061963190184049076,6.79557055214724,0.8198148148148148
score_margin_bin,unknown,33,14,19,0.42424242424242425,-6.17,-0.18696969696969698,,
ai_conf_bin,0.70_to_0.82,37,8,29,0.21621621621621623,-5.2299999999999995,-0.14135135135135135,5.876216216216216,0.7702702702702703
ai_conf_bin,gt_0.82,41,23,18,0.5609756097560976,1.06,0.025853658536585368,7.912243902439024,0.8585365853658536
ai_conf_bin,lt_0.70,3,3,0,1.0,1.3,0.43333333333333335,5.690333333333333,0.6166666666666667
ai_conf_bin,unknown,208,115,93,0.5528846153846154,-0.49999999999999983,-0.002403846153846153,6.372622857142857,
atr_pctile_bin,high_vol_gt70,94,42,52,0.44680851063829785,-5.02,-0.053404255319148934,6.6607529411764705,0.8057575757575758
atr_pctile_bin,low_vol_lt30,85,51,34,0.6,8.33,0.098,6.604040540540541,0.81375
atr_pctile_bin,mid_vol_30_70,104,53,51,0.5096153846153846,-6.1499999999999995,-0.05913461538461538,6.4179784946236555,0.8095833333333333
atr_pctile_bin,unknown,6,3,3,0.5,-0.53,-0.08833333333333333,5.59175,
ticks_since_spike_bin,late_gt260,207,109,98,0.5265700483091788,1.03,0.00497584541062802,5.9782692307692304,0.7804081632653062
ticks_since_spike_bin,mid_80_260,69,32,37,0.463768115942029,-3.89,-0.0563768115942029,8.256846153846153,0.8534375
ticks_since_spike_bin,unknown,13,8,5,0.6153846153846154,-0.5099999999999998,-0.039230769230769215,5.484666666666667,
regime,,33,14,19,0.42424242424242425,-6.17,-0.18696969696969698,,
regime,calm,126,71,55,0.5634920634920635,7.0200000000000005,0.055714285714285716,6.081198412698413,0.7669230769230769
regime,trending,130,64,66,0.49230769230769234,-4.22,-0.03246153846153846,6.983623076923077,0.8292727272727273
setup_type,,33,14,19,0.42424242424242425,-6.17,-0.18696969696969698,,
setup_type,SMC_FVG,58,29,29,0.5,-1.0,-0.017241379310344827,8.42053448275862,0.8534375
setup_type,TREND,198,106,92,0.5353535353535354,3.8000000000000003,0.019191919191919194,5.988439393939394,0.7804081632653062
fvg_tier,,33,14,19,0.42424242424242425,-6.17,-0.18696969696969698,,
fvg_tier,dynamic_soft_veto_no_fvg,198,106,92,0.5353535353535354,3.8000000000000003,0.019191919191919194,5.988439393939394,0.7804081632653062
fvg_tier,fvg_mitigated,58,29,29,0.5,-1.0,-0.017241379310344827,8.42053448275862,0.8534375
ema_trade_alignment,False,220,117,103,0.5318181818181819,2.72,0.012363636363636365,6.197809090909091,0.7971428571428572
ema_trade_alignment,,33,14,19,0.42424242424242425,-6.17,-0.18696969696969698,,
ema_trade_alignment,True,36,18,18,0.5,0.0799999999999999,0.0022222222222222196,8.627333333333333,0.8516666666666667
