symbol,side,entry_time_utc,exit_time_utc,opened_at_ts,closed_at_ts,duration_sec,stake_usdt,pnl_usdt,result,exit_reason,closed_by,contract_id,max_hold_seconds,spread_at_entry,ema200_distance_at_entry_pct,score_raw,effective_min_score,score_margin,trend,momentum,stability,atr_score,atr_pct,hurst,regime,setup_type,fvg_tier,geo_channel_pos,geo_slope_pct,dynamic_score_min,dynamic_score_ceiling,dynamic_cfg_regime,execution_grade,ema200_dev_pct,ema_state,ema_trade_alignment,ctx_regime,ctx_atr,ctx_atr_percentile,ctx_hurst,ctx_ema200_distance_pct,ctx_ticks_since_last_spike,ctx_spike_cluster_active,ctx_delta_s,ai_approved,ai_confidence,ai_score,ai_hurst,ai_autocorr,ai_vol_regime,ai_model,ai_delta_s,spikes_during_trade,favorable_spikes_during,adverse_spikes_during,first_favorable_spike_delay_s,first_adverse_spike_delay_s,spike_cluster_seen_during,last_spike_before_open_delay_s,last_spike_before_open_dir
BOOM900,MULTUP,2026-05-26T14:11:41.421797+00:00,2026-05-26T14:38:02.455874+00:00,1779804701.4217966,1779806282.455874,1581.034,1.5,-0.54,loss,broker_sl_hit,ws_event,835710539,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,0,0,0,,,False,,
BOOM900,MULTUP,2026-05-26T14:38:47.481937+00:00,2026-05-26T15:15:28.318148+00:00,1779806327.4819372,1779808528.318148,2200.836,1.5,0.52,win,timeout_multispike,ws_event,836945619,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.009393,18.0,0.4418,-9e-05,,False,65.88293719291687,,,,,,,,,13,13,0,104.7221736907959,,True,,
BOOM900,MULTUP,2026-05-26T15:17:43.686578+00:00,2026-05-26T15:48:17.081271+00:00,1779808663.6865783,1779810497.0812714,1833.395,1.5,-0.54,loss,broker_sl_hit,ws_event,838979439,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.009428,17.0,0.5023,0.0002,175.0,True,7.152578353881836,,,,,,,,,10,10,0,102.02921175956726,,True,182.50101947784424,UP
BOOM900,MULTUP,2026-05-26T15:48:34.601164+00:00,2026-05-26T16:30:36.995436+00:00,1779810514.6011643,1779813036.9954364,2522.394,1.5,-0.54,loss,broker_sl_hit,ws_event,840399599,0.0,1e-05,-0.0096,6.254,6.0,0.25399999999999956,1.5,1.41,0.75,1.94,1e-06,0.469,calm,TREND,dynamic_soft_veto_no_fvg,-0.725,-0.00011,5.3,5.3,FAST,B,-0.0096,below_ema200,False,normal,0.010876,49.0,0.5347,-0.0001,1715.0,True,18.301164388656616,,,,,,,,,2,2,0,421.66574144363403,,False,1518.8914153575897,UP
BOOM900,MULTUP,2026-05-26T16:31:24.452783+00:00,2026-05-26T17:28:34.623501+00:00,1779813084.4527826,1779816514.6235008,3430.171,1.2,0.21,win,timeout_multispike,heartbeat_poll,842259219,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.010897,86.0,0.4809,-9e-05,1068.0,False,4.956782579421997,,,,,,,,,7,7,0,407.78327083587646,,True,1073.2340052127838,UP
BOOM900,MULTUP,2026-05-26T17:52:11.391521+00:00,2026-05-26T18:18:13.645756+00:00,1779817931.3915215,1779819493.6457562,1562.254,1.08,0.38,win,timeout_multispike,reaper_poll,846171359,0.0,1e-05,-0.0092,5.169,3.5,1.6689999999999996,1.5,1.02,0.75,1.0,1e-06,0.488,calm,TREND,dynamic_soft_veto_no_fvg,-0.044,-0.00011,5.3,5.3,SLOW,C,-0.0092,below_ema200,False,normal,0.010483,95.0,0.4874,-8e-05,643.0,True,29.0575213432312,,,,,,,,,2,2,0,1476.8236796855927,,True,672.1970636844635,UP
BOOM900,MULTUP,2026-05-26T18:26:08.626266+00:00,2026-05-26T18:34:49.343651+00:00,1779819968.626266,1779820489.343651,520.717,1.2,0.24,win,timeout_multispike,ws_event,847828719,0.0,1e-05,-0.0097,5.18,3.5,1.6799999999999997,1.5,1.17,0.0,1.11,1e-06,0.517,calm,TREND,dynamic_soft_veto_no_fvg,-0.176,-5e-05,5.3,5.3,SLOW,C,-0.0097,below_ema200,False,normal,0.011317,70.0,0.5166,-0.0001,460.0,True,26.081265926361084,,,,,,,,,1,1,0,508.57113122940063,,False,486.27604627609253,UP
BOOM900,MULTUP,2026-05-26T18:42:46.437866+00:00,2026-05-26T18:47:38.393921+00:00,1779820966.4378662,1779821258.3939214,291.956,1.37,0.3,win,timeout_multispike,ws_event,848679719,0.0,1e-05,-0.0091,6.162,6.0,0.16199999999999992,1.5,0.95,0.75,1.56,1e-06,0.499,calm,TREND,dynamic_soft_veto_no_fvg,-0.157,-6e-05,5.3,5.3,SLOW,C,-0.0091,below_ema200,False,normal,0.010497,54.0,0.4992,-9e-05,485.0,False,4.0308661460876465,,,,,,,,,2,2,0,105.80912256240845,,True,489.24046897888184,UP
BOOM900,MULTUP,2026-05-26T19:01:17.074201+00:00,2026-05-26T19:27:22.506631+00:00,1779822077.074201,1779823642.506631,1565.432,1.5,-0.54,loss,broker_sl_hit,ws_event,849650199,0.0,1e-05,-0.0096,5.561,3.5,2.061,1.5,0.91,0.75,1.0,1e-06,0.494,calm,TREND,dynamic_soft_veto_no_fvg,-0.275,-0.00011,5.3,5.3,NORMAL,C,-0.0096,below_ema200,False,normal,0.010055,70.0,0.4935,-9e-05,454.0,True,34.08920121192932,,,,,,,,,0,0,0,,,False,488.8327136039734,UP
BOOM900,MULTUP,2026-05-26T19:28:34.764445+00:00,2026-05-26T19:39:01.371186+00:00,1779823714.7644448,1779824341.3711865,626.607,1.46,0.24,win,timeout_multispike,ws_event,851045539,0.0,1e-05,-0.009,6.789,6.0,0.7889999999999997,1.5,1.32,0.75,1.82,1e-06,0.505,calm,TREND,dynamic_soft_veto_no_fvg,0.123,-0.00011,5.3,5.3,NORMAL,B,-0.009,below_ema200,False,normal,0.009759,63.0,0.4957,-9e-05,2074.0,True,51.82444477081299,,,,,,,,,2,2,0,178.42589211463928,,False,2126.5229573249817,UP
